,date,open,high,low,close,volume,return_rate
477,2019-01-03,2958.6,3006.0,2951.6,2962.6,52089,0.00013503477145368004
478,2019-01-04,2948.2,3041.4,2942.2,3041.4,64837,0.026598258286640176
479,2019-01-07,3051.0,3064.0,3033.8,3047.2,52600,0.0019070165055565618
480,2019-01-08,3047.0,3055.0,3037.4,3050.6,39248,0.0011157784195327156
481,2019-01-09,3070.0,3125.6,3066.2,3072.0,58480,0.00701501343997905
482,2019-01-10,3069.0,3098.2,3057.2,3075.6,50060,0.0011718749999999705
483,2019-01-11,3085.0,3109.6,3071.0,3099.2,52252,0.007673299518793052
484,2019-01-14,3056.0,3101.8,3056.0,3070.8,39096,-0.009163655136809383
485,2019-01-15,3077.0,3134.6,3070.0,3130.0,51966,0.019278363944248995
486,2019-01-16,3126.2,3135.0,3115.2,3129.4,38639,-0.00019169329073479523
487,2019-01-17,3135.0,3147.8,3110.8,3114.6,32618,-0.004729341087748508
488,2019-01-18,3126.4,3160.0,3124.0,3158.2,14637,0.013998587298529477
489,2019-01-21,3174.8,3207.6,3172.6,3186.6,42681,0.008992464061807388
490,2019-01-22,3182.0,3184.6,3138.6,3147.2,38843,-0.012364275403251144
491,2019-01-23,3147.0,3166.0,3131.4,3138.4,41315,-0.002796136248093457
492,2019-01-24,3148.2,3173.6,3122.8,3164.4,47106,0.008284476166199336
493,2019-01-25,3170.0,3211.0,3170.0,3188.8,46529,0.007710782454809787
494,2019-01-28,3208.0,3238.2,3176.4,3185.2,45013,-0.0011289513296539023
495,2019-01-29,3182.2,3212.2,3157.2,3200.0,49092,0.004646490016325563
496,2019-01-30,3183.4,3209.8,3177.0,3178.6,40444,-0.0066875000000000285
497,2019-01-31,3189.8,3224.2,3185.4,3207.4,44828,0.009060592713773416
498,2019-02-01,3231.2,3262.4,3207.8,3261.4,39912,0.016836066595996756
499,2019-02-11,3250.0,3311.4,3247.2,3305.6,35804,0.013552462132826338
500,2019-02-12,3303.8,3335.0,3300.2,3325.0,36773,0.005868828654404674
501,2019-02-13,3327.0,3417.8,3327.0,3397.4,39528,0.021774436090225592
502,2019-02-14,3397.0,3417.8,3386.4,3402.4,24387,0.0014717136633896509
503,2019-02-15,3406.8,3408.2,3346.4,3352.6,51820,-0.014636727016223896
504,2019-02-18,3379.0,3454.0,3379.0,3447.4,59393,0.028276561474676425
505,2019-02-19,3456.0,3484.0,3421.2,3438.0,67661,-0.0027266925799153247
506,2019-02-20,3454.8,3467.0,3427.0,3449.6,58697,0.00337405468295518
507,2019-02-21,3447.8,3503.4,3430.0,3448.0,77478,-0.0004638218923932946
508,2019-02-22,3447.2,3540.0,3421.6,3539.8,76687,0.026624129930394484
509,2019-02-25,3584.4,3801.8,3573.2,3800.2,104191,0.07356347816260796
510,2019-02-26,3788.6,3789.0,3687.6,3701.8,97918,-0.02589337403294554
511,2019-02-27,3713.0,3741.6,3646.8,3685.2,89697,-0.004484304932735524
512,2019-02-28,3681.8,3709.6,3664.2,3677.4,74602,-0.0021165744057309584
513,2019-03-01,3707.2,3760.0,3674.2,3750.0,90486,0.01974220916952192
514,2019-03-04,3780.0,3893.0,3766.8,3786.8,105952,0.009813333333333382
515,2019-03-05,3789.6,3830.0,3782.0,3822.8,81880,0.009506707510298933
516,2019-03-06,3829.4,3864.4,3784.4,3846.6,93142,0.006225803076279095
517,2019-03-07,3835.6,3853.6,3775.0,3808.8,95875,-0.009826860084230159
518,2019-03-08,3720.0,3776.0,3662.6,3673.2,102152,-0.03560176433522379
519,2019-03-11,3691.2,3737.2,3662.6,3721.0,80228,0.013013176521833874
520,2019-03-12,3753.0,3808.0,3721.0,3747.4,86115,0.007094866971244313
521,2019-03-13,3750.4,3758.2,3698.6,3720.8,77651,-0.0070982547899877
522,2019-03-14,3711.0,3746.0,3682.0,3699.0,50213,-0.0058589550634272685
523,2019-03-15,3719.8,3789.8,3718.0,3741.2,22828,0.011408488780751505
524,2019-03-18,3760.8,3871.4,3741.6,3868.2,87041,0.033946327381588794
525,2019-03-19,3868.6,3877.6,3822.2,3836.0,72405,-0.00832428519724932
526,2019-03-20,3826.6,3863.0,3795.0,3837.4,83550,0.00036496350364965876
527,2019-03-21,3851.4,3869.8,3823.6,3830.0,88303,-0.0019283890133945094
528,2019-03-22,3838.0,3851.8,3782.2,3843.4,84997,0.003498694516971303
529,2019-03-25,3785.0,3808.0,3733.2,3740.8,81930,-0.026695113701410186
530,2019-03-26,3765.2,3769.4,3685.8,3709.0,75545,-0.008500855431993205
531,2019-03-27,3721.0,3749.6,3713.2,3730.0,71377,0.0056619034780264225
532,2019-03-28,3716.0,3748.0,3703.0,3721.8,66848,-0.0021983914209114793
533,2019-03-29,3732.8,3895.6,3732.8,3876.2,90543,0.04148530281046795
534,2019-04-01,3915.0,3988.8,3914.2,3982.0,76725,0.02729477323151545
535,2019-04-02,4000.0,4002.0,3958.6,3971.2,58191,-0.002712204922149719
536,2019-04-03,3951.0,4048.0,3949.8,4030.8,72143,0.015008058017727732
537,2019-04-04,4048.8,4091.0,4023.4,4085.6,81886,0.013595316066289501
538,2019-04-08,4125.0,4135.0,4018.2,4052.2,83340,-0.008175053847660096
539,2019-04-09,4059.0,4097.0,4041.2,4081.6,72053,0.007255318098810546
540,2019-04-10,4068.0,4127.0,4036.0,4089.6,81323,0.001960015680125441
541,2019-04-11,4090.0,4104.4,3987.4,4013.0,84743,-0.018730438184663516
542,2019-04-12,4009.0,4016.4,3969.0,3996.8,71594,-0.004036880139546429
543,2019-04-15,4059.0,4091.6,3960.0,3967.8,86958,-0.007255804643714971
544,2019-04-16,3960.2,4094.0,3951.2,4093.0,78483,0.03155400977871864
545,2019-04-17,4080.2,4111.4,4056.4,4080.6,65274,-0.003029562667969727
546,2019-04-18,4081.8,4093.8,4058.4,4070.6,37967,-0.002450620006861736
547,2019-04-19,4085.0,4140.6,4035.8,4130.2,81562,0.01464157618041564
548,2019-04-22,4130.0,4134.4,3993.6,4020.2,101759,-0.02663309282843446
549,2019-04-23,4013.8,4065.6,4005.2,4018.8,96721,-0.00034824138102572914
550,2019-04-24,4037.0,4044.0,3962.6,4025.0,104494,0.001542749079327117
551,2019-04-25,4015.4,4024.4,3945.2,3948.6,96784,-0.018981366459627353
552,2019-04-26,3940.0,3955.8,3882.2,3891.4,108242,-0.014486146988806113
553,2019-04-29,3905.0,3962.8,3888.0,3914.8,107414,0.006013260009251192
554,2019-04-30,3902.0,3929.6,3893.6,3913.8,86456,-0.0002554408909778277
555,2019-05-06,3776.8,3808.2,3623.4,3668.0,118222,-0.06280341356226689
556,2019-05-07,3708.0,3743.4,3676.0,3714.4,109927,0.01264994547437298
557,2019-05-08,3655.4,3730.8,3651.4,3664.2,99313,-0.01351496877019176
558,2019-05-09,3642.0,3661.4,3572.2,3597.6,112676,-0.018175863762895015
559,2019-05-10,3651.4,3742.0,3564.4,3711.0,148150,0.031521014009339585
560,2019-05-13,3672.2,3691.8,3635.6,3657.2,270,-0.014497440043115113
561,2019-05-14,3646.0,3686.4,3626.2,3638.6,320,-0.0050858580334682026
562,2019-05-15,3680.0,3744.6,3666.6,3715.2,294,0.021052052987412716
563,2019-05-16,3706.6,3740.0,3692.0,3732.8,55002,0.004737295434969951
564,2019-05-17,3713.0,3715.4,3597.4,3617.4,110521,-0.030915130732961874
